Female Age,OMR,OFR,BR
18,0.858,0.78,0.659
19,0.815,0.795,0.522
20,0.823,0.742,0.6
21,0.779,0.77,0.539
22,0.81,0.791,0.534
23,0.825,0.805,0.6
24,0.836,0.78,0.608
25,0.835,0.807,0.604
26,0.815,0.798,0.618
27,0.828,0.81,0.601
28,0.833,0.803,0.604
29,0.825,0.801,0.604
30,0.834,0.805,0.603
31,0.825,0.802,0.612
32,0.84,0.806,0.584
33,0.84,0.798,0.58
34,0.83,0.803,0.572
35,0.829,0.788,0.574
36,0.857,0.784,0.568
37,0.844,0.791,0.556
38,0.86,0.771,0.568
39,0.847,0.786,0.552
40,0.853,0.786,0.523
41,0.846,0.783,0.49
42,0.87,0.798,0.489
43,0.86,0.776,0.458
44,0.884,0.782,0.427
45,0.883,0.792,0.383
46,0.87,0.764,0.326
47,0.795,0.786,0.273
48,0.815,0.705,0.129
49,0.75,0.758,0.16
50,0.714,1,0.2
